team,group
Qatar,A
Ecuador,A
Senegal,A
Netherlands,A
England,B
Iran,B
USA,B
Wales,B
Argentina,C
Saudi Arabia,C
Mexico,C
Poland,C
France,D
Australia,D
Denmark,D
Tunisia,D
